what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1314845882292
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1314845882292
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1314845882292
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1314845882292
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1314845882292
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1314845882292
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1314845882292
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1314845882292
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1314845882292
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1314845882292
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1314845882292
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1314845882292
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1314845882292
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1314845882292
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1314845882292
started,bundle,com.python.pydev,2.2.1.2011071313,"com.python.pydev",1314845882292
started,bundle,com.python.pydev.analysis,2.2.1.2011071313,"com.python.pydev.analysis",1314845882292
started,bundle,com.python.pydev.codecompletion,2.2.1.2011071313,"com.python.pydev.codecompletion",1314845882292
started,bundle,com.python.pydev.refactoring,2.2.1.2011071313,"com.python.pydev.refactoring",1314845882292
started,bundle,org.python.pydev,2.2.1.2011071313,"org.python.pydev",1314845882292
started,bundle,org.python.pydev.core,2.2.1.2011071313,"org.python.pydev.core",1314845882292
started,bundle,org.python.pydev.debug,2.2.1.2011071313,"org.python.pydev.debug",1314845882292
started,bundle,org.python.pydev.django,2.2.1.2011071313,"org.python.pydev.django",1314845882292
started,bundle,org.python.pydev.jython,2.2.1.2011071313,"org.python.pydev.jython",1314845882292
started,bundle,org.python.pydev.parser,2.2.1.2011071313,"org.python.pydev.parser",1314845882292
started,bundle,org.python.pydev.red_core,2.2.1.2011071313,"org.python.pydev.red_core",1314845882292
started,bundle,org.python.pydev.refactoring,2.2.1.2011071313,"org.python.pydev.refactoring",1314845882292
os,sysinfo,,,"linux",1314845882296
arch,sysinfo,,,"x86",1314845882296
ws,sysinfo,,,"gtk",1314845882296
locale,sysinfo,,,"en_US",1314845882296
processors,sysinfo,,,"2",1314845882296
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1314845882296
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1314845882296
java.specification.name,sysinfo,,,"Java Platform API Specification",1314845882296
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314845882296
java.specification.version,sysinfo,,,"1.6",1314845882296
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1314845882296
java.version,sysinfo,,,"1.6.0_26",1314845882296
java.vm.info,sysinfo,,,"mixed mode, sharing",1314845882296
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1314845882297
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1314845882297
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314845882297
java.vm.specification.version,sysinfo,,,"1.0",1314845882297
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1314845882297
java.vm.version,sysinfo,,,"20.1-b02",1314845882297
